tweet,class_a,class_a_code,PredictedProb
'whoisq wherestheserver dumpnike declasfisa democrats support antifa muslim brotherhood ms isis pedophilia child trafficking taxpayer funded abortions election fraud sedition treason lockthemallup wwgwga qanon',OFF,1,0.5584356
'constitutionday revered conservatives hated progressivessocialistdemocrats want change',NOT,0,0.18123046
'foxnews nra maga potus trump ndamendment rnc usmc veterans fakereporting theswamp dnc liberals fakeoutrage first reduces ca',NOT,0,0.25144726
'watching boomer getting news still parole always makes smile wentworth finale treasure',NOT,0,0.18530257
'nopasaran unity demo oppose farright london antifa oct enough enough',OFF,1,0.32343233
'fuck time',OFF,1,0.8030129
'rap form art used express freely gv green light excuse behavior acting like animal streets bx violence way living elevate boo get level longevity queen',NOT,0,0.59291726
'get feeling kissing behind humiliate later',OFF,1,0.1884026
'tips enhance audience connection facebook socialmedia smm',NOT,0,0.30105236
'biggbosstamil janani task going first final list',NOT,0,0.22344555
'conservatives party low taxation tories tory',NOT,0,0.34706694
'nord cannot make single move fully aware happening chill comes spine ghostly rather calm female voice called corner room even time attempt response',NOT,0,0.68590486
'constoo place fed conservatives',NOT,0,0.27139595
'greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video',NOT,0,0.21888262
'nigga ware da hits',OFF,1,0.30105236
'stopkavanaugh liar like rest gop',OFF,1,0.7848504
'dayspromo week september th days dool coma things gal sami going ok hattie thanks get finishes hattie pretends marlena look kayla face priceless',NOT,0,0.28767443
'biggbosstelugu lets include tweetshe business head star maa networkdont know knows biggboss team host hurting audience emotions biggbosstelugu',NOT,0,0.5370099
'dallaspolicewoman kills neighbor apartment went wrong seeofficer shot man apartment involved shooting suspect devastatedsaid dallas police officer adds sorry family',NOT,0,0.36785117
'always smack',NOT,0,0.2589884
'breaking weeklong trial linn county jury convicted gregory davis firstdegree murder connection carrie davis homicide took place almost year ago',NOT,0,0.32515326
'kavanaugh wild claim years ago groping evolved rape violent sexual event move soros based org supports blm antifa etc unbeievable',NOT,0,0.2783925
'kznlt enjouji really prototype character brand nothing things love rolled one horrible package fed directly baby mes subconscious',NOT,0,0.20384707
'silsilabadallterishtonka tag filled appreciation never watched serial always wanted appreciation aditi underrated since starting show worth appreciation',NOT,0,0.2425709
'beto betoforsenate betoorourke betofortx willie nelson laughs conservatives upset',NOT,0,0.20606261
'hiac damn matt hardy randy orton put one hell cell match woooo hope okay',NOT,0,0.7205925
'school shootings arent controversial wanting gun control',NOT,0,0.33058974
'put delauro police lineup identifying bag lady would picked everytime proof either conn voters incompetent vote part vast voter fraud conspiracy one votes woman gross',OFF,1,0.4094567
'coffee spit spartacus moment never saw film',NOT,0,0.30051225
'familyfriends tell bad shit bfgf go right back',OFF,1,0.7953876
'christineblaseyford kavanaugh accuser liberals try every time confirmjudgekavanaugh',OFF,1,0.46217856
'fellow democrats dont want well whats best america purely politics dov hikind democratic ny assemblyman',NOT,0,0.3659744
